,Company,Test R2,Test MSE
0,FAPA,0.9626789198597392,36259.56355240231
0,FISH,0.9976081284594487,10233.55504551285
0,FLMC,0.9952219290544232,71.02000486763787
0,FOOD,0.9699949812909487,46.283616821267195
0,GGRM,-0.43522404046147734,797754612.4292368
0,GOLL,0.9910101385370234,13.15078135163328
0,GOOD,0.9939908906600226,57.62000704071747
0,GRPM,0.9161512037911369,12.69247653310084
0,GULA,0.9652175063270032,309.8613196941652
0,GZCO,0.9988397952484338,8.220458369449625
0,HERO,0.9991181853256489,882.5622312154803
0,HMSP,0.9991176453868367,1605.743524843915
0,HOKI,0.9922636524916564,19.72771165515471
0,IBOS,0.9918776669590029,349.6244282214599
0,ICBP,0.9993168956819553,10770.311023316406
0,IKAN,0.9946023834540546,84.83694968221026
0,INDF,0.9989169419712168,8321.489234245006
0,IPPE,0.986372972060901,198.70700898555774
0,ITIC,0.991302427111121,4671.191330627646
0,JARR,0.9527922131702757,276.7436600023582
0,JAWA,0.9973677620762703,36.086099137791074
0,JPFA,0.9983865570166466,745.7524433866114
0,KEJU,0.9767491462482834,788.036798942001
0,KINO,0.9939468312894095,6995.0386144546965
0,KMDS,0.9016835075854344,364.85632567164765
0,KPAS,0.9856681038310461,137.5223309250487
0,LAPD,0.9971360045596492,20.099796390169736
0,LSIP,0.9982593061153705,793.6412115328129
0,MAGP,0.9990533876750747,0.5314420075934382
0,MAIN,0.9994920506457337,335.8613265550272
0,MAXI,0.9522345157239697,1.8423226236478567
0,MBTO,0.9982550198803253,28.2127910614028
0,MGRO,0.9858688448489608,237.95197885459743
0,MIDI,0.9972795050445887,31.694202027142598
0,MKTR,0.9411311510071345,74.46242469140896
0,MLBI,0.9983671565065869,52473.421661098466
0,MLPL,0.9981539416406581,74.19691062292775
0,MPPA,0.9986037120154858,915.8095748799363
0,MRAT,0.9961825286836992,84.1868913454167
0,MSJA,0.7471186608720493,196.82647014476257
0,MYOR,0.999218846265726,794.5076662686802
0,NANO,0.9885212546751376,5.946059638108123
0,NASI,0.986541746367955,164.07604742334252
0,NAYZ,0.991453706658174,15.033722566857083
0,NSSS,0.936919852428678,34.115161330369084
0,OILS,0.9747205117197132,123.55584823289578
0,PCAR,0.9981935043748372,3534.0663073055325
0,PGUN,0.9853366734272703,640.6020188523731
0,PMMP,0.9686858522987636,188.60928194002616
0,PNGO,0.9755936458192188,1632.381439205711
0,PSDN,0.9881031305055267,63.432689706740284
0,PSGO,0.9668491041233764,40.853480924045165
0,PTPS,0.9580274303111701,258.223118582498
0,RANC,0.9970049498680963,521.9822179837067
0,ROTI,0.9944531277891828,442.3467140097577
0,SDPC,0.9781823871299378,24.32331786673308
0,SGRO,0.9946282944485534,1792.4831195545046
0,SIMP,0.998678508789782,117.75833030719468
0,SIPD,0.9933267320377202,990.0137986234477
0,SKBM,0.991291449735074,479.88999597700507
0,SKLT,0.9938489599721945,39.288734722807426
0,SMAR,0.9980910467838179,9483.810612002018
0,SOUL,0.9675170648286904,3.4265265502404225
0,SSMS,0.9918228731136358,976.3682562644622
0,STAA,0.9788127335605371,501.0703555834222
0,STRK,0.9760179257941617,252.96684601194517
0,STTP,0.9981811167389266,16970.94057717758
0,TAPG,0.9386160948729723,283.35247440878203
0,TAYS,0.9880336090023433,303.78292145679285
0,TBLA,0.9981844018140827,173.211773991566
0,TCID,0.9991146257094246,5986.733537566014
0,TGKA,0.9988289593129372,7592.870892926848
0,TGUK,0.7943608168211799,65.6731509600221
0,TLDN,0.9854173751994529,79.77653335080089
0,TRGU,0.9556961484058809,112.57604959521724
0,UCID,0.9884726145512231,675.8189855196156
0,UDNG,0.9427856037735184,22.385325679412613
0,ULTJ,0.9988991209311382,382.6920364503942
0,UNSP,0.9783760730696722,520989.27295066114
0,UNVR,0.9990302019180242,9267.783792305216
0,VICI,0.992128032699179,82.82215940557768
0,WAPO,0.9752828349247072,144.8123537354765
0,WICO,0.9909988801338592,132.08667198549762
0,WIIM,0.9967034825906319,873.9243657103153
0,WINE,0.9092075768345756,949.9023767105597
0,WMPP,0.994035360613104,12.121864479384328
0,WMUU,0.9962865609768486,12.647471556520198
0,ABMM,0.9924621785567921,5236.038651254828
0,ADMR,0.9777227235199851,3947.9450085110498
0,ADRO,0.997442057006464,1331.649800117786
0,AIMS,0.9888717832327828,193.36797883270125
0,AKRA,0.9983285122581618,354.0097016806139
0,ALII,0.8990399693396145,1794.3698041639052
0,APEX,0.9981231271075716,2325.229629795357
0,ARII,0.9957338635376675,603.517506059807
0,ARTI,0.996763640622016,167.30951645245983
0,ATLA,0.7118572365592726,1220.445963119008
0,BBRM,0.9942970862665166,26.78043756024008
